ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
20653,variable,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,"<div class=""detailmodule_html""><div class=""detail-desc-decorate-richtext""><p style=""text-align:left;margin:0px;margin-bottom:0px;margin-top:0px;margin-left:0px;margin-right:0px"" align=""left""><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><br><img src=""""><img src=""?width=800&amp;height=500&amp;hash=1300""><img src=""?width=800&amp;height=283&amp;hash=1083""><img src=""?width=800&amp;height=513&amp;hash=1313""></p><br></div></div>\n",,,taxable,,1,,,0,0,,,,,1,,,,Shop,,,"https://shopflaire.pro/wp-content/uploads/2024/09/S31423ed4d7664826adb9e2ae17f8fbf2k.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S005a64b9566c44418d1b3ebe365987a9g.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S8b660947dc224653b5c126b5c9cb6bc2m.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S85a926704391418cb63187cf294050a1W.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S6e0bedc33cd34ae6b352fe6420dac781x.webp, https://shopflaire.pro/wp-content/uploads/2024/09/S27d730e136a64743acd343d3577a4f73U-3.webp",,,,,,,,,0,Size,"M, L, XXL, S, XL",1,0,Color,"black, GRAY, WHITE",1,0,"Ships From",CHINA,1,0
20654,variation,BLACK-M-CHINA-1138848737,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1690,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S27d730e136a64743acd343d3577a4f73U.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,M,,0,Color,black,,0,"Ships From",CHINA,,0
20655,variation,BLACK-L-CHINA-572986548,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1650,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S27d730e136a64743acd343d3577a4f73U-1.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,L,,0,Color,black,,0,"Ships From",CHINA,,0
20656,variation,BLACK-XXL-CHINA-418968776,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1674,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S27d730e136a64743acd343d3577a4f73U-2.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XXL,,0,Color,black,,0,"Ships From",CHINA,,0
20657,variation,BLACK-S-CHINA-975662140,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1762,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S27d730e136a64743acd343d3577a4f73U-2.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,S,,0,Color,black,,0,"Ships From",CHINA,,0
20658,variation,GRAY-XXL-CHINA-449920983,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1782,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S26b6e27e442949069300001ef71d3ca5G.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XXL,,0,Color,GRAY,,0,"Ships From",CHINA,,0
20659,variation,WHITE-L-CHINA-1564927854,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1143,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Seb4e635e852947f0a75e1fd4de796abae.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,L,,0,Color,WHITE,,0,"Ships From",CHINA,,0
20660,variation,WHITE-XXL-CHINA-316796390,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1463,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Seb4e635e852947f0a75e1fd4de796abae-1.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XXL,,0,Color,WHITE,,0,"Ships From",CHINA,,0
20661,variation,GRAY-S-CHINA-1242438788,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1788,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S26b6e27e442949069300001ef71d3ca5G-1.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,S,,0,Color,GRAY,,0,"Ships From",CHINA,,0
20662,variation,GRAY-L-CHINA-238014309,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1741,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S26b6e27e442949069300001ef71d3ca5G-2.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,L,,0,Color,GRAY,,0,"Ships From",CHINA,,0
20663,variation,BLACK-XL-CHINA-251946152,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1739,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S27d730e136a64743acd343d3577a4f73U-4.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XL,,0,Color,black,,0,"Ships From",CHINA,,0
20664,variation,WHITE-M-CHINA-983271038,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1276,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Seb4e635e852947f0a75e1fd4de796abae-3.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,M,,0,Color,WHITE,,0,"Ships From",CHINA,,0
20665,variation,GRAY-XL-CHINA-142570841,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1811,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/S26b6e27e442949069300001ef71d3ca5G-3.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XL,,0,Color,GRAY,,0,"Ships From",CHINA,,0
20666,variation,WHITE-XL-CHINA-3848480,"Lucyever White Knitted Cardigan Women Summer Thin Sunscreen Lace-Up",1,0,visible,,,,,taxable,parent,1,1530,,0,0,,,,,0,,,10.3,,,,https://shopflaire.pro/wp-content/uploads/2024/09/Seb4e635e852947f0a75e1fd4de796abae-2.webp,,,lucyever-white-knitted-cardigan-women-summer-thin-sunscreen-lace-up-1498196960,,,,,,0,Size,XL,,0,Color,WHITE,,0,"Ships From",CHINA,,0
